<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1998.12.14	116.390	116.840	114.920	115.660	14885	0	50
1998.12.15	115.680	117.650	115.380	116.770	10902	0	50
1998.12.16	116.800	117.300	115.350	116.650	14544	0	50
1998.12.17	116.650	116.650	115.580	116.310	14058	0	50
1998.12.18	116.400	116.550	114.450	116.180	12784	0	50
1998.12.21	115.570	116.400	114.650	115.750	14021	0	50
1998.12.22	115.710	117.520	115.600	116.590	13161	0	50
1998.12.23	116.550	116.800	115.480	115.630	11166	0	50
1998.12.24	115.640	116.550	115.000	116.290	8890	0	50
1998.12.25	116.100	116.630	115.730	116.550	2969	0	50
1998.12.28	116.130	117.140	115.600	115.670	9858	0	50
1998.12.29	115.690	116.250	114.950	115.770	16817	0	50
1998.12.30	115.790	115.920	114.450	114.880	12180	0	50
1998.12.31	114.800	114.930	113.150	113.700	6199	0	50
1999.01.04	113.470	114.360	111.570	111.940	6596	0	50
1999.01.05	112.060	112.420	110.510	111.920	7248	0	50
1999.01.06	111.820	113.430	111.600	112.770	6913	0	50
1999.01.07	112.720	113.020	109.770	111.330	7387	0	50
1999.01.08	111.370	112.170	110.520	110.800	11247	0	50
1999.01.11	110.270	111.000	108.220	109.020	10166	0	50
1999.01.12	108.970	112.850	108.640	112.600	10877	0	50
1999.01.13	112.620	114.130	111.110	113.520	7956	0	50
1999.01.14	113.440	114.450	112.820	113.520	6869	0	50
1999.01.15	113.450	114.210	112.270	114.150	6018	0	50
1999.01.18	114.170	115.010	113.340	114.160	5877	0	50
1999.01.19	114.200	114.970	113.350	113.520	6082	0	50
1999.01.20	113.620	114.060	112.660	112.910	6461	0	50
1999.01.21	113.000	114.420	112.320	113.870	6726	0	50
1999.01.22	113.900	114.740	113.500	114.560	5881	0	50
1999.01.25	114.570	114.820	113.570	113.720	5247	0	50
1999.01.26	113.730	114.280	113.300	113.860	6255	0	50
1999.01.27	113.810	116.140	113.470	115.630	6553	0	50
1999.01.28	115.620	116.830	115.170	116.290	7813	0	50
1999.01.29	116.260	116.500	115.730	116.330	6800	0	50
1999.02.01	115.930	116.020	114.790	115.090	5986	0	50
1999.02.02	115.100	115.200	111.910	111.930	7977	0	50
1999.02.03	111.950	113.160	111.750	112.910	6462	0	50
1999.02.04	112.920	114.100	111.600	112.090	7647	0	50
1999.02.05	112.070	113.730	111.340	113.130	7497	0	50
1999.02.08	112.990	115.000	112.720	114.560	6091	0	50
1999.02.09	114.540	114.920	113.900	114.020	7235	0	50
1999.02.10	113.820	115.520	113.700	114.320	7350	0	50
1999.02.11	114.290	114.830	113.590	114.650	5816	0	50
1999.02.12	114.670	115.780	113.850	114.000	7931	0	50
1999.02.15	114.050	115.970	113.800	115.920	5497	0	50
1999.02.16	115.970	118.860	115.650	118.670	7795	0	50
1999.02.17	118.680	119.250	117.980	118.720	6878	0	50
1999.02.18	118.730	120.140	118.320	119.680	7012	0	50
1999.02.19	119.680	121.450	119.410	121.350	8029	0	50
1999.02.22	121.400	122.520	120.050	121.140	8131	0	50
1999.02.23	121.020	121.900	119.800	120.790	8362	0	50
1999.02.24	120.780	122.100	120.570	121.380	7203	0	50
1999.02.25	121.350	121.820	119.110	119.820	7328	0	50
1999.02.26	119.620	121.120	118.450	119.210	8285	0	50
1999.03.01	119.270	119.900	118.860	119.740	6773	0	50
1999.03.02	119.710	120.870	119.710	120.090	5062	0	50
1999.03.03	120.040	121.900	119.920	121.850	6986	0	50
1999.03.04	121.840	123.750	121.780	123.500	6893	0	50
1999.03.05	123.400	123.570	122.030	122.720	6692	0	50
1999.03.08	122.850	123.180	121.090	121.710	6554	0	50
1999.03.09	121.650	122.100	120.630	121.120	8043	0	50
1999.03.10	121.130	121.380	119.580	119.780	7491	0	50
1999.03.11	119.770	121.050	118.640	119.110	8134	0	50
1999.03.12	119.120	120.470	118.670	118.780	7428	0	50
1999.03.15	119.100	119.390	117.390	117.860	6501	0	50
1999.03.16	117.870	118.490	117.320	117.440	6056	0	50
1999.03.17	117.390	119.180	117.200	118.260	6485	0	50
1999.03.18	118.280	118.800	117.370	117.500	7396	0	50
1999.03.19	117.530	117.800	116.890	117.050	6733	0	50
1999.03.22	116.940	118.430	116.920	118.310	6097	0	50
1999.03.23	118.320	118.780	117.810	118.170	6081	0	50
1999.03.24	118.230	118.510	117.120	118.160	6806	0	50
1999.03.25	118.130	118.380	117.690	118.170	6514	0	50
1999.03.26	118.160	120.490	117.980	120.320	6205	0	50
1999.03.29	120.360	120.580	119.620	120.220	5442	0	50
1999.03.30	120.260	120.710	119.860	120.260	4893	0	50
1999.03.31	120.250	121.000	118.150	118.860	6796	0	50
1999.04.01	118.860	120.870	118.400	120.870	5493	0	50
1999.04.02	120.870	120.870	120.350	120.770	1766	0	50
1999.04.05	120.660	122.000	120.430	121.700	2653	0	50
1999.04.06	121.710	121.810	120.430	120.550	5812	0	50
1999.04.07	120.560	121.620	120.450	121.420	5369	0	50
1999.04.08	121.410	121.600	120.380	121.240	6419	0	50
1999.04.09	121.250	121.490	120.740	120.940	5987	0	50
1999.04.12	120.870	120.900	119.750	120.420	5503	0	50
1999.04.13	120.430	120.800	119.630	119.770	5731	0	50
1999.04.14	119.780	119.960	118.520	118.720	5872	0	50
1999.04.15	118.830	119.460	118.280	119.160	6341	0	50
1999.04.16	119.150	119.170	117.420	117.860	5833	0	50
1999.04.19	117.820	118.520	117.500	117.610	4996	0	50
1999.04.20	117.620	118.970	117.460	118.910	5241	0	50
1999.04.21	118.920	119.930	118.520	119.830	5976	0	50
1999.04.22	119.820	120.410	119.370	119.530	5707	0	50
1999.04.23	119.510	119.820	119.020	119.200	5022	0	50
1999.04.26	119.230	119.580	118.680	119.370	4859	0	50
1999.04.27	119.330	120.570	119.140	120.240	5591	0	50
1999.04.28	120.230	120.420	118.310	119.050	7173	0	50
1999.04.29	119.030	119.640	118.790	119.150	5411	0	50
1999.04.30	119.140	119.970	118.950	119.500	5563	0	50
1999.05.03	119.520	120.400	119.420	120.300	3916	0	50
1999.05.04	120.290	121.290	120.170	120.820	5391	0	50
1999.05.05	120.850	121.400	120.150	120.400	5890	0	50
1999.05.06	120.390	121.140	119.820	120.540	6884	0	50
1999.05.07	120.540	120.920	120.270	120.750	5627	0	50
1999.05.10	120.910	121.290	120.410	120.620	5060	0	50
1999.05.11	120.610	121.190	120.270	120.940	5894	0	50
1999.05.12	120.950	121.610	120.310	120.890	6022	0	50
1999.05.13	120.890	121.900	120.880	121.770	4821	0	50
1999.05.14	121.780	122.850	121.520	122.850	6132	0	50
1999.05.17	122.840	123.590	122.770	123.570	6553	0	50
1999.05.18	123.530	123.660	122.630	123.320	5817	0	50
1999.05.19	123.330	124.720	123.210	124.280	7468	0	50
1999.05.20	124.280	124.820	123.810	124.320	6807	0	50
1999.05.21	124.330	124.590	123.500	123.970	6114	0	50
1999.05.24	124.060	124.370	122.920	123.070	4026	0	50
1999.05.25	123.060	123.350	122.230	122.420	5844	0	50
1999.05.26	122.330	122.470	121.590	122.340	7289	0	50
1999.05.27	122.320	122.750	119.750	120.270	7323	0	50
1999.05.28	120.220	121.780	120.190	121.570	7095	0	50
1999.05.31	121.750	121.900	121.170	121.520	4137	0	50
1999.06.01	121.530	121.970	120.360	120.650	6768	0	50
1999.06.02	120.660	121.690	120.320	121.610	6676	0	50
1999.06.03	121.630	122.020	120.960	121.520	6858	0	50
1999.06.04	121.590	122.470	121.020	122.350	5668	0	50
1999.06.07	122.410	122.420	120.550	120.800	4682	0	50
1999.06.08	120.810	121.690	118.720	119.270	7810	0	50
1999.06.09	119.260	119.630	118.570	119.220	7233	0	50
1999.06.10	119.190	119.950	117.640	118.880	9883	0	50
1999.06.11	118.890	119.100	117.850	117.890	6877	0	50
1999.06.14	118.060	120.880	117.880	120.670	8096	0	50
1999.06.15	120.670	120.770	120.130	120.420	6081	0	50
1999.06.16	120.460	120.650	119.920	120.420	5230	0	50
1999.06.17	120.380	120.420	119.120	119.470	6702	0	50
1999.06.18	119.500	120.940	118.970	120.510	5699	0	50
1999.06.21	120.720	122.600	120.600	122.350	6844	0	50
1999.06.22	122.320	122.520	121.500	121.750	6645	0	50
1999.06.23	121.760	122.330	121.680	121.870	6482	0	50
1999.06.24	121.880	122.310	121.620	121.890	5826	0	50
1999.06.25	121.820	122.050	121.120	121.480	6743	0	50
1999.06.28	121.370	121.950	120.970	121.460	6465	0	50
1999.06.29	121.480	121.620	120.760	121.080	4692	0	50
1999.06.30	121.070	121.270	120.550	121.070	6927	0	50
1999.07.01	121.080	121.520	120.600	120.760	5326	0	50
1999.07.02	120.770	121.260	120.730	120.960	4634	0	50
1999.07.05	121.050	122.860	120.870	122.370	5418	0	50
1999.07.06	122.390	122.440	121.820	122.050	4935	0	50
1999.07.07	122.040	122.350	121.800	122.340	5059	0	50
1999.07.08	122.320	122.770	122.200	122.570	5239	0	50
1999.07.09	122.560	122.720	122.050	122.370	5546	0	50
1999.07.12	122.320	122.500	121.920	122.220	4520	0	50
1999.07.13	122.220	122.270	121.120	121.250	6193	0	50
1999.07.14	121.290	121.500	120.380	120.710	6028	0	50
1999.07.15	120.740	121.220	120.250	121.000	6918	0	50
1999.07.16	120.930	121.150	120.470	120.970	6123	0	50
1999.07.19	120.980	121.050	117.670	118.320	7151	0	50
1999.07.20	118.340	119.730	117.910	118.970	6384	0	50
1999.07.21	119.050	119.700	118.050	118.170	6571	0	50
1999.07.22	118.190	118.800	116.170	116.960	7236	0	50
1999.07.23	116.960	117.450	116.120	116.480	7389	0	50
1999.07.26	116.860	117.100	115.430	116.840	7073	0	50
1999.07.27	116.860	117.400	116.170	116.440	6810	0	50
1999.07.28	116.440	116.570	115.340	116.070	6274	0	50
1999.07.29	116.070	116.140	114.910	115.440	7034	0	50
1999.07.30	115.450	115.850	114.140	114.570	4842	0	50
1999.08.02	114.860	114.990	113.870	114.450	6835	0	50
1999.08.03	114.440	115.720	114.360	115.250	6732	0	50
1999.08.04	115.260	115.350	114.050	114.310	6083	0	50
1999.08.05	114.380	114.950	113.600	114.560	7372	0	50
1999.08.06	114.540	115.030	114.240	114.880	5632	0	50
1999.08.09	115.230	115.520	114.950	115.080	4638	0	50
1999.08.10	115.090	115.450	114.380	114.890	5613	0	50
1999.08.11	114.890	115.420	114.480	115.360	5652	0	50
1999.08.12	115.350	116.070	115.220	115.290	5849	0	50
1999.08.13	115.300	116.350	114.510	115.800	6203	0	50
1999.08.16	115.750	115.910	114.550	114.560	6078	0	50
1999.08.17	114.420	114.950	113.870	114.020	5991	0	50
1999.08.18	114.010	114.300	111.630	111.960	7982	0	50
1999.08.19	111.970	112.350	110.710	111.550	8472	0	50
1999.08.20	111.550	112.160	111.050	111.250	6214	0	50
1999.08.23	111.260	112.050	110.570	111.540	6763	0	50
1999.08.24	111.520	112.920	110.680	110.840	7950	0	50
1999.08.25	110.850	112.200	110.530	111.070	7826	0	50
1999.08.26	111.090	111.960	110.770	111.570	4659	0	50
1999.08.27	111.560	111.970	111.270	111.380	5537	0	50
1999.08.30	110.920	111.600	110.560	110.580	5848	0	50
1999.08.31	110.570	111.090	109.020	109.680	7437	0	50
1999.09.01	109.700	109.850	108.660	109.050	6355	0	50
1999.09.02	109.040	109.660	108.710	109.210	6606	0	50
1999.09.03	109.210	110.470	109.090	110.040	6112	0	50
1999.09.06	109.570	109.980	109.330	109.670	5254	0	50
1999.09.07	109.650	111.420	109.430	110.720	5798	0	50
1999.09.08	110.720	111.300	110.380	111.150	6574	0	50
