<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2002.04.26	1.56560	1.56680	1.56070	1.56160	4731	0	60
2002.04.29	1.56150	1.56870	1.56020	1.56710	4746	0	60
2002.04.30	1.56720	1.57080	1.56540	1.56750	4544	0	60
2002.05.01	1.56790	1.56900	1.55620	1.55950	4309	0	60
2002.05.02	1.55940	1.56470	1.55900	1.56230	4364	0	60
2002.05.03	1.56220	1.56730	1.55710	1.56610	4322	0	60
2002.05.06	1.56340	1.56950	1.56240	1.56780	3480	0	60
2002.05.07	1.56770	1.57190	1.56520	1.56670	4367	0	60
2002.05.08	1.56680	1.57230	1.56350	1.56990	5032	0	60
2002.05.09	1.57010	1.57230	1.56440	1.56490	4362	0	60
2002.05.10	1.56490	1.56660	1.55560	1.55900	4585	0	60
2002.05.13	1.55720	1.56010	1.55390	1.55460	4489	0	60
2002.05.14	1.55440	1.56290	1.55360	1.55850	4898	0	60
2002.05.15	1.55840	1.56020	1.55350	1.55700	4705	0	60
2002.05.16	1.55710	1.55880	1.55160	1.55480	4433	0	60
2002.05.17	1.55470	1.55710	1.54150	1.54400	5239	0	60
2002.05.20	1.54640	1.54650	1.53920	1.54160	3864	0	60
2002.05.21	1.54170	1.54420	1.53480	1.53680	5108	0	60
2002.05.22	1.53700	1.54080	1.53110	1.53270	5580	0	60
2002.05.23	1.53260	1.53850	1.53250	1.53510	5245	0	60
2002.05.24	1.53500	1.54220	1.53200	1.53420	5520	0	60
2002.05.27	1.53250	1.53710	1.53250	1.53310	3026	0	60
2002.05.28	1.53330	1.53680	1.52860	1.53170	4645	0	60
2002.05.29	1.53150	1.53550	1.52810	1.53380	4810	0	60
2002.05.30	1.53390	1.53830	1.53210	1.53450	4719	0	60
2002.05.31	1.53440	1.53580	1.52580	1.52740	5189	0	60
2002.06.03	1.53670	1.53870	1.52550	1.52700	4893	0	60
2002.06.04	1.52690	1.53220	1.52450	1.53120	4724	0	60
2002.06.05	1.53130	1.53810	1.52940	1.53180	5396	0	60
2002.06.06	1.53170	1.53540	1.53020	1.53310	4916	0	60
2002.06.07	1.53330	1.53380	1.52880	1.53220	4609	0	60
2002.06.10	1.53270	1.54000	1.53250	1.53950	4051	0	60
2002.06.11	1.53960	1.54130	1.53500	1.53610	4542	0	60
2002.06.12	1.53620	1.53870	1.53430	1.53580	4391	0	60
2002.06.13	1.53590	1.54010	1.53520	1.53940	3974	0	60
2002.06.14	1.53950	1.55240	1.53900	1.54650	4896	0	60
2002.06.17	1.54620	1.55160	1.54580	1.54750	4290	0	60
2002.06.18	1.54720	1.54740	1.54200	1.54530	4853	0	60
2002.06.19	1.54520	1.54530	1.53800	1.54040	4954	0	60
2002.06.20	1.54050	1.54100	1.52700	1.52800	4889	0	60
2002.06.21	1.52800	1.53060	1.51760	1.52060	5159	0	60
2002.06.24	1.52080	1.52430	1.51510	1.52110	5176	0	60
2002.06.25	1.52090	1.52440	1.51480	1.51530	5342	0	60
2002.06.26	1.51510	1.52190	1.50780	1.51820	6426	0	60
2002.06.27	1.51850	1.51940	1.50850	1.51110	5727	0	60
2002.06.28	1.51140	1.52210	1.50290	1.51650	6300	0	60
2002.07.01	1.51740	1.51990	1.51360	1.51670	4085	0	60
2002.07.02	1.51660	1.53010	1.51580	1.52740	5272	0	60
2002.07.03	1.52730	1.53480	1.52450	1.53220	5185	0	60
2002.07.04	1.53210	1.53460	1.52730	1.52870	3804	0	60
2002.07.05	1.52920	1.53430	1.52210	1.52390	4869	0	60
2002.07.08	1.52400	1.52540	1.51750	1.52300	5306	0	60
2002.07.09	1.52290	1.52690	1.51100	1.51180	5642	0	60
2002.07.10	1.51160	1.52330	1.51080	1.51990	6356	0	60
2002.07.11	1.52090	1.52710	1.51650	1.52480	5768	0	60
2002.07.12	1.52470	1.53460	1.52220	1.53380	5125	0	60
2002.07.15	1.53250	1.54040	1.52990	1.53870	6504	0	60
2002.07.16	1.53860	1.54000	1.53120	1.53930	6567	0	60
2002.07.17	1.53950	1.54560	1.53630	1.53960	5600	0	60
2002.07.18	1.53970	1.54610	1.53880	1.54450	4468	0	60
2002.07.19	1.54470	1.54520	1.53240	1.54360	7309	0	60
2002.07.22	1.54270	1.56640	1.54020	1.56390	8202	0	60
